ID,Title,Assigned_Categories
1,Comparison of succinylcholine with two doses of rocuronium using a new method of monitoring neuromuscular block at the laryngeal muscles by surface laryngeal electromyography.,"Clinical & Diagnostic, Neurophysiology"
2,The influence of experimental muscle pain on motor unit activity during low-level contraction.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
3,Muscle activation in therapeutic exercises to improve trunk stability.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
4,EMG-based prediction of shoulder and elbow kinematics in able-bodied and spinal cord injured individuals,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
5,Electromyogram changes during sustained contraction after resistance training in women in their 3rd and 8th decades.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
6,Effects of body-mind training and relaxation stretching on persons with chronic toxic encephalopathy.,"Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics"
8,Noninvasive estimation of motor unit conduction velocity distribution using linear electrode arrays,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
9,Anticipatory postural adjustments depend on final equilibrium and task complexity in vertical high jump movements.,"Biomechanics & Kinematics, Neurophysiology"
10,Propagation disturbance of motor unit action potentials during transient paresis in generalized myotonia: a high-density surface EMG study.,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
11,Concentric-ring electrode systems for noninvasive detection of single motor unit activity,Neurophysiology
12,Facial electromyographic (EMG) responses to emotionally significant visual images: differences between light and heavy drinkers.,Other / General
13,The effects of a weight belt on trunk and leg muscle activity and joint kinematics during the squat exercise.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
14,Anticipatory and reflexive neck muscle activities during voluntary rapid jaw opening and passive jaw depression in humans.,"Biomechanics & Kinematics, Neurophysiology"
15,Effects of posture on dynamic back loading during a cable lifting task.,"Biomechanics & Kinematics, Neurophysiology"
16,Oscillatory cortical drive to isometrically contracting muscle in Unverricht-Lundborg type progressive myoclonus epilepsy (ULD).,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
17,The effect of foot placement on sit to stand in healthy young subjects and patients with hemiplegia.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
18,Prediction of joint moments using a neural network model of muscle activations from EMG signals,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
19,A comparative electromyographical investigation of muscle utilization patterns using various hand positions during the lat pull-down.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
20,Motor unit recruitment strategies investigated by surface EMG variables.,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
21,Improving elbow torque output of stroke patients with assistive torque controlled by EMG signals.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
22,Comparison of MRI with EMG to study muscle activity associated with dynamic plantar flexion.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
23,MR imaging in the differential diagnosis of neurogenic foot drop.,"Clinical & Diagnostic, Rehabilitation & Therapy, Neurophysiology"
24,Simultaneous feedforward recruitment of the vasti in untrained postural tasks can be restored by physical therapy.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
25,Rapid neck muscle adaptation alters the head kinematics of aware and unaware subjects undergoing multiple whiplash-like perturbations.,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
26,A fast and reliable technique for muscle activity detection from surface EMG signals,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
27,Fatigue analysis of the surface EMG signal in isometric constant force contractions using the averaged instantaneous frequency,"Biomechanics & Kinematics, Sports & Ergonomics"
28,Neck muscle fatigue affects postural control in man.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
29,Repeated spinal flexion modulates the flexion-relaxation phenomenon.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
30,Emotional effects of startling background music during reading news reports: The moderating influence of dispositional BIS and BAS sensitivities.,Sports & Ergonomics
32,MUAP number estimates in surface EMG: template-matching methods and their performance boundaries.,"Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics"
33,Choosing EMG parameters: comparison of different onset determination algorithms and EMG integrals in a joint stability study.,Biomechanics & Kinematics
34,Muscle activity during patient transfers: a preliminary study on the influence of lift assists and experience.,Rehabilitation & Therapy
35,Maintenance of EMG activity and loss of force output with instability.,"Biomechanics & Kinematics, Rehabilitation & Therapy"
36,Design and implementation of a hands-free electrolarynx device controlled by neck strap muscle electromyographic activity.,"HCI & Prosthetics, Sports & Ergonomics"
37,Isometric shoulder muscle activation patterns for 3-D planar forces: a methodology for musculo-skeletal model validation.,Biomechanics & Kinematics
38,"Colonic transit time, sphincter EMG, and rectoanal videomanometry in multiple system atrophy.","Clinical & Diagnostic, HCI & Prosthetics, Neurophysiology"
39,Neuro-fuzzy control of a robotic exoskeleton with EMG signals,"Rehabilitation & Therapy, HCI & Prosthetics"
40,EMG recovery and ratings after back extensor fatigue in patients with lumbar disc herniation and healthy subjects.,"Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics"
41,Reduced plantar sensation causes a cautious walking pattern.,Biomechanics & Kinematics
42,The role of laryngeal electromyography in vocal fold immobility.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
43,The influence of different unloading positions upon stature recovery and paraspinal muscle activity.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
44,Inhibition from the plantar nerve to soleus muscle during the stance phase of walking.,"Biomechanics & Kinematics, Neurophysiology"
45,Customized Interactive Robotic Treatment for Stroke: EMG-Triggered Therapy,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology"
46,Conduction velocity of quiescent muscle fibers decreases during sustained contraction.,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
47,Rectus femoris surface myoelectric signal cross-talk during static contractions.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
48,The heel-contact gait pattern of habitual toe walkers.,"Clinical & Diagnostic, Biomechanics & Kinematics"
50,Forward and backward arm cycling are regulated by equivalent neural mechanisms.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
51,Preliminary communication: urodynamic assessment of donepezil hydrochloride in patients with Alzheimer's disease.,Clinical & Diagnostic
52,Functional activity characteristics of individuals with shoulder dysfunctions.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
53,The effects of unilateral muscle fatigue on bilateral physiological tremor.,"Clinical & Diagnostic, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
54,"The bilateral leg strength deficit is present in old, young and adolescent females during isokinetic knee extension and flexion.","Biomechanics & Kinematics, HCI & Prosthetics"
55,Multiexpert automatic speech recognition using acoustic and myoelectric signals,"HCI & Prosthetics, Sports & Ergonomics"
56,Estimation of Motor Unit Conduction Velocity From Surface EMG Recordings by Signal-Based Selection of the Spatial Filters,"Biomechanics & Kinematics, Neurophysiology"
57,Relationship of spasticity to knee angular velocity and motion during gait in cerebral palsy.,"Clinical & Diagnostic, Biomechanics & Kinematics"
58,Stress-induced pain and muscle activity in patients with migraine and tension-type headache.,"Clinical & Diagnostic, Rehabilitation & Therapy"
59,A Real-Time EMG Pattern Recognition System Based on Linear-Nonlinear Feature Projection for a Multifunction Myoelectric Hand,HCI & Prosthetics
60,Effect of age on anticipatory postural adjustments in unilateral arm movement.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics"
62,Interpretation of surface EMGs in children with cerebral palsy: An initial study using a fuzzy expert system.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics"
63,Muscle fatigue during dynamic contractions assessed by new spectral indices.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Sports & Ergonomics"
64,Bowel dysfunction in patients with cauda equina lesions.,"Clinical & Diagnostic, Rehabilitation & Therapy, Neurophysiology"
65,Coactivation of the elbow antagonist muscles is not affected by the speed of movement in isokinetic exercise,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
66,Electromyographic analysis of joint-dependent global synkinesis in the upper limb of healthy adults: laterality of intensity and symmetry of spatial representation.,Biomechanics & Kinematics
67,A comparison of visual and mathematical detection of the electromyographic threshold during incremental pedaling exercise: a pilot study.,"Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
68,Muscle synergies involved in preparation to a step made under the self-paced and reaction time instructions.,"Clinical & Diagnostic, Biomechanics & Kinematics"
69,"When the social mirror breaks: deficits in automatic, but not voluntary, mimicry of emotional facial expressions in autism.",Clinical & Diagnostic
70,A comparison of surface and intramuscular myoelectric signal classification.,"Biomechanics & Kinematics, HCI & Prosthetics"
71,Electromyographic findings after different selective neck dissections.,Clinical & Diagnostic
72,Effects of electromyography biofeedback-assisted relaxation on pain in patients with advanced cancer in a palliative care unit.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics"
73,Abnormal surface EMG during clinically normal wrist movement in cervical dystonia.,"Clinical & Diagnostic, Biomechanics & Kinematics"
74,"Electromyography of superficial and deep neck muscles during isometric, voluntary, and reflex contractions.","Biomechanics & Kinematics, Neurophysiology"
75,Extroversion-related differences in speed of premotor and motor processing as revealed by lateralized readiness potentials.,Other / General
76,Gastric dysmotility in patients with major depression.,"Clinical & Diagnostic, HCI & Prosthetics"
77,Utility of portable electromyography for quantifying muscle activity during daily use.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
78,Muscle activation during selected strength exercises in women with chronic neck muscle pain.,"Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics"
79,Time and frequency domain responses of the mechanomyogram and electromyogram during isometric ramp contractions: a comparison of the short-time Fourier and continuous wavelet transforms.,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
80,Waking-state oral parafunctional behaviors: specificity and validity as assessed by electromyography.,"Clinical & Diagnostic, Sports & Ergonomics"
81,Entropy-Based Optimization of Wavelet Spatial Filters,Neurophysiology
82,Comparative study between biofeedback retraining and botulinum neurotoxin in the treatment of anismus patients.,"Clinical & Diagnostic, Rehabilitation & Therapy"
83,Short-term effects of implemented high intensity shoulder elevation during computer work.,"Clinical & Diagnostic, Rehabilitation & Therapy, Sports & Ergonomics"
84,Decoding of Individuated Finger Movements Using Surface Electromyography,HCI & Prosthetics
85,Behavioural treatment of the dyssynergic defecation in chronically constipated elderly patients: a randomized controlled trial.,"Clinical & Diagnostic, HCI & Prosthetics"
86,A Combined sEMG and Accelerometer System for Monitoring Functional Activity in Stroke,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
87,Mapping the compound muscle action potentials of cricothyroid muscle using electromyography in thyroid operations: a novel method to clinically type the external branch of the superior laryngeal nerve.,"Clinical & Diagnostic, Neurophysiology"
88,Applicability of the coactivation method in assessing synergies of the scapular stabilizing muscles.,Other / General
89,Comparison of critical force to EMG fatigue thresholds during isometric leg extension.,"Biomechanics & Kinematics, Sports & Ergonomics"
90,Mechanism and treatment of dropped head syndrome associated with parkinsonism.,Clinical & Diagnostic
91,Adaptive pattern recognition of myoelectric signals: exploration of conceptual framework and practical algorithms.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics"
92,Facial expression arousal level modulates facial mimicry.,Biomechanics & Kinematics
93,Distribution of motor unit potential velocities in the biceps brachii muscle of sprinters and endurance athletes during short static contractions at low force levels.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
94,Electromyographic and cephalometric correlation with the predominant masticatory movement.,Biomechanics & Kinematics
95,Changes in muscle fascicles of tibialis anterior during anisometric contractions are not associated with motor-output variability of the ankle dorsiflexors in young and old adults.,"Biomechanics & Kinematics, Sports & Ergonomics"
96,Isometric back muscle endurance: an EMG study on the criterion validity of the Ito test.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
97,Ankle muscle activation when using the Both Sides Utilized (BOSU) balance trainer.,"Biomechanics & Kinematics, Rehabilitation & Therapy"
99,A New Control Method for Power-Assisted Wheelchair Based on the Surface Myoelectric Signal,"Biomechanics & Kinematics, HCI & Prosthetics"
101,Relationship between ease of swallowing and deglutition-related muscle activity in various postures.,Sports & Ergonomics
102,Validity of surface electromyography for vastus intermedius muscle assessed by needle electromyography.,"Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics"
103,Muscle fiber conduction velocity is more affected after eccentric than concentric exercise.,"Biomechanics & Kinematics, Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
104,Quadriceps EMG muscle activation during accurate soccer instep kicking.,Other / General
105,Differences in time-frequency representation of lower limbs myoelectric activity during single and double leg landing in male athletes.,"HCI & Prosthetics, Neurophysiology"
106,Effect of meditation on stress-induced changes in cognitive functions.,"Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
107,Effect of breathing 7% carbon dioxide on the human soleus Hoffmann-reflex recruitment curve.,Neurophysiology
109,Passive trunk loading influences muscle activation during dynamic activity.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
110,Reduced force steadiness in women with neck pain and the effect of short term vibration.,"Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology"
111,"Dynamically evoked, discrete-threshold electromyography in the extreme lateral interbody fusion approach.","Clinical & Diagnostic, Biomechanics & Kinematics, Neurophysiology, Sports & Ergonomics"
112,Muscular timing and inter-muscular coordination in healthy females while walking.,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
113,Muscle activation strategies during strength training with heavy loading vs. repetitions to failure.,"Rehabilitation & Therapy, Neurophysiology, Sports & Ergonomics"
114,Comparison of ambulatory and polysomnographic recording of jaw muscle activity during sleep in normal subjects.,Other / General
115,Type 2 diabetes mellitus patients manifest characteristic spatial EMG potential distribution pattern during sustained isometric contraction.,"Clinical & Diagnostic, Biomechanics & Kinematics, Sports & Ergonomics"
116,Quantitative electromyography improves prediction in vocal fold paralysis.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
117,Effect of strength training on rate of force development in older women.,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
118,Incomplete swallowing and retracted tongue maneuvers for electromyographic signal normalization of the extrinsic muscles of the larynx.,Other / General
119,The Cybernetic Rehabilitation Aid: Preliminary Results for Wrist and Elbow Motions in Healthy Subjects,"Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
120,Vestibular-dependent spinal reflexes evoked by brief lateral accelerations of the heads of standing subjects.,Clinical & Diagnostic
121,Antagonist muscle moment is increased in ACL deficient subjects during maximal dynamic knee extension.,Biomechanics & Kinematics
122,A preliminary quantitative analysis of REM sleep chin EMG in Parkinson's disease with or without REM sleep behavior disorder.,Clinical & Diagnostic
123,"During step descent, older adults exhibit decreased knee range of motion and increased vastus lateralis muscle activity.",Biomechanics & Kinematics
124,"Comparison of electromyographic signals from monopolar current and potential amplifiers derived from a penniform muscle, the gastrocnemius medialis.","Biomechanics & Kinematics, Sports & Ergonomics"
125,Kinematic and electromyographic analysis of the Nordic Hamstring Exercise.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy"
126,Neural drive increases following resistance training in patients with multiple sclerosis.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology"
127,Sitting movement in elderly subjects with and without Parkinson's disease: a biomechanical study.,"Clinical & Diagnostic, Biomechanics & Kinematics"
128,Electromyography-Based Locomotion Pattern Recognition and Personal Positioning Toward Improved Context-Awareness Applications,"Biomechanics & Kinematics, HCI & Prosthetics, Sports & Ergonomics"
130,Neuromuscular differences between boys with and without intellectual disability during squat jump.,"Biomechanics & Kinematics, Neurophysiology"
131,Wireless Surface Electromyography Probes With Four High-Speed Channels,Other / General
132,Age-related changes in neuromuscular function of the quadriceps muscle in physically active adults.,"Biomechanics & Kinematics, Neurophysiology"
133,The effects of post-stroke upper-limb training with an electromyography (EMG)-driven hand robot.,"Clinical & Diagnostic, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
134,Kinematic and electromyographic comparisons between chin-ups and lat-pull down exercises.,"Biomechanics & Kinematics, Rehabilitation & Therapy"
135,An IC-PLS Framework for Group Corticomuscular Coupling Analysis,"Clinical & Diagnostic, HCI & Prosthetics, Neurophysiology"
137,Development of a speech-discriminating electromyogram system for routine ambulatory recordings for the low-level masseter muscle activity.,"Clinical & Diagnostic, Sports & Ergonomics"
138,On the effect of thermal agents in the response of the brachial biceps at different contraction levels.,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
139,Altered flexion-relaxation responses exist during asymmetric trunk flexion movements among persons with unilateral lower-limb amputation.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
140,A comparison of the real-time controllability of pattern recognition to conventional myoelectric control for discrete and simultaneous movements.,"Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics"
141,"Support Vector Regression for Improved Real-Time, Simultaneous Myoelectric Control","Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology, Sports & Ergonomics"
142,A comparison of surface and fine wire EMG recordings of gluteus medius during selected maximum isometric voluntary contractions of the hip.,"Biomechanics & Kinematics, HCI & Prosthetics"
143,Human Hand Motion Analysis With Multisensory Information,"Biomechanics & Kinematics, HCI & Prosthetics"
144,Surface electromyographic mapping of the orbicularis oculi muscle for real-time blink detection.,"Rehabilitation & Therapy, Sports & Ergonomics"
145,Spatial reorganisation of muscle activity correlates with change in tangential force variability during isometric contractions.,"Biomechanics & Kinematics, Sports & Ergonomics"
146,Task-Dependent Intermuscular Motor Unit Synchronization between Medial and Lateral Vastii Muscles during Dynamic and Isometric Squats.,"Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology"
